id_partido,liga,fecha_hora,equipo_visitante,equipo_local,abridor_visitante,abridor_local,favorito_sabermetrico,probabilidad_inicial,prob_mercado,es_valor,factor_riesgo,score_b1_pitcheo_away,score_b1_pitcheo_home,score_b2_ofensiva_away,score_b2_ofensiva_home,score_b3_bullpen_away,score_b3_bullpen_home,score_b4_eficiencia_away,score_b4_eficiencia_home,senal_moneyline,nivel_certidumbre,fip_away,xfip_away,kbb_away,fip_home,xfip_home,kbb_home,wrc_away,wrc_home,wrc_vs_rhp_away,wrc_vs_lhp_away,wrc_vs_rhp_home,wrc_vs_lhp_home,abridor_mano_away,abridor_mano_home,war_bullpen_away,war_bullpen_home,pitcheos_72h_away,pitcheos_72h_home,baseruns_diff_away,baseruns_diff_home,llm_ir_favorito,llm_porque,llm_factores,resultado_llm,llm_carreras,llm_carreras_lineas,llm_ranking_local,llm_ranking_visitante,llm_abridor_local,llm_abridor_visitante,llm_bateadores_clave,llm_relevo_local,llm_relevo_visitante,descripcion_analisis,resultado,probabilidad_actualizada,marcador_final,ganador_real,fecha_actualizacion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
